id;course_date;activity_type;instructor_id;place;presence_marked;cat2;cat3;duration;exam_date;start_time;end_time;time_of_day;examinator_id;training_id
1;2022-12-05 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
2;2017-12-22 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
3;2023-02-09 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
4;2010-12-13 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
5;2023-12-06 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
6;2020-07-13 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
7;2023-09-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
8;2022-08-08 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
9;2016-11-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
10;2011-01-31 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
11;2022-07-08 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
12;2016-12-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
13;2023-07-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
14;2022-12-21 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
15;2023-05-29 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
16;2011-02-02 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
17;2023-01-18 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
18;2023-10-30 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
19;2022-11-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
20;2022-11-21 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
21;2017-01-17 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
22;2023-06-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
23;2009-06-11 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
24;2022-08-23 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
25;2022-10-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
26;2011-10-12 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
27;2024-04-24 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
28;2008-08-13 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
29;2023-12-01 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
30;2016-12-22 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
31;2023-01-16 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
32;2019-05-20 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
33;2016-12-08 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
34;2020-09-03 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
35;2022-05-18 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
36;2022-11-15 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
37;2023-07-24 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
38;2023-01-20 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
39;2012-01-18 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
40;2011-12-22 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
41;2022-10-11 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
42;2011-03-02 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
43;2023-01-12 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
44;2023-12-04 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
45;2011-02-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
46;2018-11-12 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
47;2023-01-09 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
48;2016-10-04 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
49;2010-09-10 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
50;2022-11-16 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
51;2023-06-12 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
52;2024-01-30 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
53;2024-02-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
54;2022-10-31 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
55;2022-11-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
56;2022-01-20 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
57;2022-10-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
58;2022-11-17 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
59;2022-10-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
60;2023-01-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
61;2023-04-11 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
62;2022-10-05 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
63;2022-11-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
64;2016-08-29 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
65;2024-02-12 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
66;2023-01-31 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
67;2021-10-13 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
68;2022-09-12 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
69;2023-06-13 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
70;2023-02-06 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
71;2023-02-13 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
72;2017-01-06 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
73;2011-01-20 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
74;2023-03-20 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
75;2022-07-21 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
76;2023-02-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
77;2024-02-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
78;2023-02-21 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
79;2022-09-13 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
80;2022-12-06 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
81;2023-03-13 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
82;2019-10-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
83;2023-08-04 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
84;2022-08-15 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
85;2023-01-23 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
86;2022-11-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
87;2009-03-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
88;2022-12-12 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
89;2022-12-08 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
90;2022-11-22 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
91;2023-01-30 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
92;2022-09-15 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
93;2010-12-06 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
94;2022-10-06 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
95;2023-03-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
96;2010-03-09 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
97;2011-02-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
98;2023-09-20 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
99;2023-09-18 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
100;2012-12-20 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
101;2023-01-10 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
102;2022-12-01 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
103;2016-12-16 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
104;2022-05-30 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
105;2022-10-18 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
106;2022-06-13 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
107;2022-10-03 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
108;2022-09-20 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
109;2022-02-01 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
110;2022-11-29 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
111;2016-04-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
112;2010-10-04 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
113;2022-10-04 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
114;2023-02-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
115;2010-02-23 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
116;2022-12-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
117;2016-12-15 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
118;2023-05-23 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
119;2023-04-13 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
120;2022-12-13 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
121;2019-11-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
122;2022-02-21 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
123;2022-11-24 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
124;2022-09-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
125;2022-06-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
126;2022-12-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
127;2021-11-29 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
128;2022-06-06 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
129;2022-08-16 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
130;2010-04-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
131;2011-01-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
132;2011-01-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
133;2010-08-05 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
134;2016-11-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
135;2011-01-03 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
136;2023-08-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
137;2011-01-21 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
138;2010-04-15 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
139;2011-01-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
140;2010-10-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
141;2022-03-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
142;2017-01-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
143;2022-04-04 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
144;2011-01-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
145;2022-05-16 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
146;2022-02-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
147;2022-03-21 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
148;2019-06-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
149;2022-06-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
150;2022-02-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
151;2019-06-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
152;2016-07-08 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
153;2013-06-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
154;2021-04-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
155;2016-05-23 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
156;2013-04-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
157;2010-05-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
158;2022-05-09 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
159;2023-10-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
160;2016-09-30 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
161;2022-03-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
162;2022-06-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
163;2022-06-10 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
164;2022-08-22 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
165;2023-08-22 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
166;2022-09-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
167;2011-10-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
168;2019-06-17 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
169;2022-09-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
170;2022-08-30 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
